file name;colors;amount color
001033.png;[250.15857988 248.73372781 248.44615385],[45.12946429 44.45089286 44.38839286],[180.10876133 142.68882175 146.50151057];[0.61816406 0.16601562 0.21582031]
001034.png;[157.88095238 149.5327381  190.91964286],[252.61297539 252.64317673 253.53691275],[214.41351351 211.16216216 228.36756757];[0.22265625 0.5546875  0.22265625]
001035.png;[252.68341308 253.41786284 253.17304625],[233.78089888 140.3988764   81.58426966],[ 85.98214286 170.5        172.32738095];[0.80566406 0.10546875 0.08886719]
001036.png;[244.50976562 152.28808594  38.18164063],[229.74461028 228.94582642 227.90547264],[27.35802469 24.52380952 21.07583774];[0.30761719 0.53320312 0.15917969]
001037.png;[106.37163375 184.58976661 214.34560144],[250.27244582 252.87925697 253.77708978],[187.89570552 223.20245399 236.65644172];[0.68945312 0.21289062 0.09765625]
001038.png;[ 19.54545455  60.95628415 152.38400397],[201.72654691 211.96207585 235.44111776],[218.69825073 166.09183673  82.01166181];[0.61621094 0.17089844 0.21289062]
001039.png;[249.9197397  141.86550976 199.11062907],[254.234375  240.9234375 248.0703125],[244.62207358  63.89966555 158.32441472];[0.31445312 0.453125   0.23242188]
001040.png;[242.72384428 240.6107056  234.43065693],[127.77858439 153.43920145  85.84936479],[231.60856269  72.51070336  68.97247706];[0.49804688 0.31542969 0.18652344]
001041.png;[18.54746137 60.6192053  50.8807947 ],[253.74488668 253.7694859  253.76147043],[146.49275362 155.22826087 152.62318841];[0.19628906 0.74609375 0.05761719]
001042.png;[252.61582459 252.94280267 253.38989514],[76.01428571 76.30714286 76.73571429],[159.97156398 184.12322275 216.69668246];[0.73339844 0.11523438 0.15136719]
001043.png;[242.22236504 247.33547558 252.43830334],[ 30.62636166 121.24836601 211.0130719 ],[114.01980198 170.90594059 227.1509901 ];[0.34570312 0.44140625 0.21289062]
001044.png;[13.08004053 13.52988855 13.74569402],[242.28541001 242.28541001 242.28541001],[ 92.5021097  140.73206751 164.85654008];[0.40136719 0.37792969 0.22070312]
001045.png;[249.05396825  67.85587302  60.84698413],[254.84073291 248.27977449 248.01268499],[251.87351779 154.6284585  150.80434783];[0.46289062 0.39160156 0.14550781]
001046.png;[226.11107575 228.64767664 229.12635264],[ 29.94444444 187.32921811 218.00823045],[110.81818182 110.36538462 110.31818182];[0.7421875 0.1171875 0.140625 ]
001047.png;[250.63846154 250.64102564 250.64102564],[52.97421203 50.60458453 44.14326648],[236.73800738 188.37269373  44.27306273];[0.5546875  0.23730469 0.20800781]
001048.png;[49.71273713 49.71273713 50.98915989],[246.41112323 246.41112323 247.46292257],[158.61460957 158.61460957 160.4836272 ];[0.13378906 0.72363281 0.14257812]
001049.png;[168.4025974  157.33116883 155.22727273],[250.72829418 250.49336057 250.53217569],[113.48689139  73.20224719  76.40449438];[0.11621094 0.68261719 0.20117188]
001050.png;[254.1809872  253.9725777  253.24771481],[109.10752688 120.17741935 126.02150538],[219.709375 212.55625  188.890625];[0.72363281 0.10253906 0.17382812]
001051.png;[ 25.0528169   58.48591549 112.50704225],[250.39906651 251.04084014 252.10035006],[137.96911197 154.6023166  181.82625483];[0.20507812 0.60839844 0.18652344]
001052.png;[181.75163399 188.52614379 200.73366013],[246.06698565 247.18660287 248.69993165],[116.74285714 129.84190476 153.88952381];[0.24414062 0.55957031 0.19628906]
001053.png;[178.27944573 157.74364896 159.45034642],[109.29929577  57.69366197  59.74295775],[244.63689605 245.85651537 246.28550512];[0.29101562 0.21484375 0.49414062]
001054.png;[248.70341207 248.70341207 248.70341207],[73.86270023 74.2402746  73.86270023],[181.89795918 181.91836735 181.89795918];[0.25683594 0.58691406 0.15625   ]
001055.png;[253.81811205 253.74750576 253.72985418],[110.00136426 123.23601637  68.9058663 ],[148.13874346 201.80235602 209.53534031];[0.46191406 0.2734375  0.26464844]
001056.png;[201.30795848  46.0899654   48.44982699],[249.2920354  247.16940582 247.19848293],[19.396875 19.396875 19.396875];[0.21484375 0.56054688 0.22460938]
001057.png;[252.87684261 249.64431764 249.64431764],[156.73094688  12.852194    12.852194  ],[208.3712297  138.42923434 138.42923434];[0.6171875  0.25976562 0.12304688]
001058.png;[243.35974026 194.84285714 109.18961039],[253.11605938 247.8879892  242.84817814],[224.07320442 134.6961326   52.60566298];[0.2265625 0.3828125 0.390625 ]
001059.png;[247.04859335 240.72378517  12.80818414],[238.98309179 237.07971014 229.41545894],[177.08067227  70.22689076  18.99495798];[0.29492188 0.27636719 0.42871094]
